date_begin,date_end,Name,Constituency,Local Party,Group,Parliament
7/20/04,6/7/09,Alain Lamassoure,Sud-Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Carl Lang,Nord-Ouest,FN,Non-Inscrits,6
7/20/04,6/7/09,Anne Laperrouze,Sud-Ouest,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,6/7/09,Stéphane Le Foll,Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Jean-Marie Le Pen,Sud-Est,FN,Non-Inscrits,6
7/20/04,6/7/09,Marine Le Pen,Ile-de-France,FN,Non-Inscrits,6
7/20/04,10/22/04,Chantal Simonot,Nord-Ouest,FN,Non-Inscrits,6
10/22/04,6/7/09,Fernand Le Rachinel,Nord-Ouest,FN,Non-Inscrits,6
7/20/04,6/7/09,Bernard Lehideux,Ile-de-France,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,7/20/04,Marie-Line Reynaud,Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Roselyne Lefrançois,Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Marie-Noëlle Lienemann,Nord-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Alain Lipietz,Ile-de-France,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/7/09,Patrick Louis,Sud-Est,MPF,Independence/Democracy,6
7/20/04,6/7/09,Jean-Claude Martinez,Sud-Ouest,FN,Non-Inscrits,6
7/20/04,6/7/09,Véronique Mathieu,Est,UMP,European People's Party,6
7/20/04,6/7/09,Philippe Morillon,Ouest,UDF,Alliance of Liberals and Democrats for Europe,6
7/20/04,5/24/07,Roselyne Bachelot-Narquin,Ouest,UMP,European People's Party,6
5/24/07,6/7/09,Elisabeth Morin,Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Gérard Onesta,Sud-Ouest,Les Verts,The Greens–European Free Alliance,6
7/20/04,6/7/09,Béatrice Patrie,Sud-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Vincent Peillon,Nord-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Bernard Poignant,Ouest,PS,Party of European Socialists ,6
7/20/04,7/4/07,Pierre Moscovici,Est,PS,Party of European Socialists ,6
7/4/07,6/7/09,Pierre Pribetich,Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Martine Roure,Sud-Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Tokia Saïfi,Nord-Ouest,UMP,European People's Party,6
7/20/04,6/7/09,Gilles Savary,Ile-de-France,PS,Party of European Socialists ,6
7/20/04,6/7/09,Pierre Schapira,Ile-de-France,PS,Party of European Socialists ,6
7/20/04,6/7/09,Lydia Schenardi,Sud-Est,FN,Non-Inscrits,6
7/20/04,6/7/09,Michel Rocard,Sud-Est,PS,Party of European Socialists ,6
2/1/09,6/7/09,Bernard Soulage,Sud-Est,PS,Party of European Socialists ,6
7/20/04,10/6/08,Robert Navarro,Sud-Ouest,PS,Party of European Socialists ,6
10/6/08,6/7/09,Michel Teychenné,Sud-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Jacques Toubon,Ile-de-France,UMP,European People's Party,6
7/20/04,6/7/09,Catherine Trautmann,Est,PS,Party of European Socialists ,6
7/20/04,6/7/09,Ari Vatanen,Sud-Est,UMP,European People's Party,6
7/20/04,6/7/09,Yannick Vaugrenard,Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Bernadette Vergnaud,Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Dominique Vlasto,Sud-Est,UMP,European People's Party,6
7/20/04,6/7/09,Henri Weber,Nord-Ouest,PS,Party of European Socialists ,6
7/20/04,6/7/09,Francis Wurtz,Ile-de-France,PCF,European United Left–Nordic Green Left,6
7/14/09,7/14/14,Sandrine Bélier,East France,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Arnaud Danjean,East France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Joseph Daul,East France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Bruno Gollnisch,East France,  National Front,  NI,7
7/14/09,7/14/14,Nathalie Griesbeck,East France,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/14/09,7/14/14,Liêm Hoang-Ngoc,East France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Véronique Mathieu,East France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Michèle Striffler,East France,  Modern Left,European People's Party,7
7/14/09,7/14/14,Catherine Trautmann,East France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Rachida Dati,Île-de-France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Jean-Marie Cavada,Île-de-France,  Union for a Popular Movement (New Centre),European People's Party,7
7/14/09,7/14/14,Marielle Gallo,Île-de-France,  Modern Left,European People's Party,7
7/14/09,7/14/14,Philippe Juvin,Île-de-France,  Union for a Popular Movement,European People's Party,7
7/14/09,2/9/10,Michel Barnier,Île-de-France,  Union for a Popular Movement,European People's Party,7
2/10/10,7/14/14,Constance Le Grip,Île-de-France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Daniel Cohn-Bendit,Île-de-France,  Europe Ecology (The Greens),The Greens–European Free Alliance,7
7/14/09,7/14/14,Eva Joly,Île-de-France,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Pascal Canfin,Île-de-France,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Karima Delli,Île-de-France,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Harlem Désir,Île-de-France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Pervenche Berès,Île-de-France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Marielle de Sarnez,Île-de-France,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/14/09,7/14/14,Patrick Le Hyaric,Île-de-France,  Left Front (Communist Party),European United Left–Nordic Green Left,7
7/14/09,7/14/14,Jean-Pierre Audy,Massif Central-Centre,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Sophie Briard-Auconie,Massif Central-Centre,  Union for a Popular Movement–New Centre,European People's Party,7
7/14/09,3/23/11,Catherine Soullie,Massif Central-Centre,  Union for a Popular Movement,European People's Party,7
3/24/11,7/14/14,Brice Hortefeux,Massif Central-Centre,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Henri Weber,Massif Central-Centre,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Jean-Paul Besset,Massif Central-Centre,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Dominique Riquet,North-West France,  Union for a Popular Movement–Radical,European People's Party,7
7/14/09,7/14/14,Tokia Saïfi,North-West France,  Union for a Popular Movement–Radical,European People's Party,7
7/14/09,7/14/14,Philippe Boulland,North-West France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Jean-Paul Gauzès,North-West France,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Gilles Pargneaux,North-West France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Estelle Grelier,North-West France,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Hélène Flautre,North-West France,  Europe Ecology (The Greens),The Greens–European Free Alliance,7
7/14/09,7/14/14,Marine Le Pen,North-West France,  National Front,  NI,7
7/14/09,7/14/14,Corinne Lepage,North-West France,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/14/09,7/14/14,Jacky Hénin,North-West France,  Left Front (Communist Party),European United Left–Nordic Green Left,7
7/14/09,7/14/14,Françoise Grossetête,South-East,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Damien Abad,South-East,  Union for a Popular Movement–New Centre,European People's Party,7
7/14/09,7/14/14,Dominique Vlasto,South-East,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Gaston Franco,South-East,  Union for a Popular Movement,European People's Party,7
7/14/09,6/15/12,Michel Dantin,South-East,  Union for a Popular Movement,European People's Party,7
6/16/12,7/14/14,Nora Berra,South-East,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Michèle Rivasi,South-East,  Europe Ecology (The Greens),The Greens–European Free Alliance,7
7/14/09,7/14/14,François Alfonsi,South-East,  Party of the Corsican Nation,The Greens–European Free Alliance,7
7/14/09,7/14/14,Malika Benarab-Attou,South-East,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Vincent Peillon,South-East,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Sylvie Guillaume,South-East,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Jean-Marie Le Pen,South-East,  National Front,  NI,7
7/14/09,7/14/14,Jean-Luc Bennahmias,South-East,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/14/09,7/14/14,Marie-Christine Vergiat,South-East,  Left Front (Miscellaneous Left),European United Left–Nordic Green Left,7
7/14/09,6/22/11,Dominique Baudis,South-West,  Union for a Popular Movement,European People's Party,7
6/23/11,7/14/14,Franck Proust,South-West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Christine de Veyrac,South-West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Alain Lamassoure,South-West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Marie-Thérèse Sanchez-Schmidt,South-West,  Union for a Popular Movement–Radical,European People's Party,7
7/14/09,7/14/14,Kader Arif,South-West,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Françoise Castex,South-West,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,José Bové,South-West,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Catherine Grèze,South-West,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Robert Rochefort,South-West,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/14/09,7/14/14,Jean-Luc Mélenchon,South-West,  Left Front (Left Party),European United Left–Nordic Green Left,7
7/14/09,1/1/11,Christophe Béchu,West,  Union for a Popular Movement,European People's Party,7
1/2/11,7/14/14,Agnès Le Brun,West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Élisabeth Morin,West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Alain Cadec,West,  Union for a Popular Movement,European People's Party,7
7/14/09,7/14/14,Bernadette Vergnaud,West,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Stéphane Le Foll,West,  Socialist Party,Party of European Socialists ,7
7/14/09,7/14/14,Yannick Jadot,West,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Nicole Kiil-Nielsen,West,  Europe Ecology,The Greens–European Free Alliance,7
7/14/09,7/14/14,Philippe de Villiers,West,  Libertas (MPF),  EFD,7
7/14/09,7/14/14,Sylvie Goulard,West,  Democratic Movement,Alliance of Liberals and Democrats for Europe,7
7/15/14,6/19/17,Marine Le Pen,North-West France,FN,Europe of Nations and Freedom,8
6/20/17,7/1/19,Christelle Lechevalier,North-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Steeve Briois,North-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Mylène Troszczynski,North-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Nicolas Bay,North-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Sylvie Goddyn,North-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Jérôme Lavrilleux,North-West France,UMP,European People's Party,8
7/15/14,7/1/19,Tokia Saïfi,North-West France,UMP,European People's Party,8
7/15/14,7/1/19,Gilles Pargneaux,North-West France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Dominique Riquet,North-West France,UDI,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Karima Delli,North-West France,EELV,The Greens–European Free Alliance,8
7/15/14,7/1/19,Alain Cadec,West France,UMP,European People's Party,8
7/15/14,7/1/19,Élisabeth Morin-Chartier,West France,UMP,European People's Party,8
7/15/14,7/1/19,Marc Joulaud,West France,UMP,European People's Party,8
7/15/14,7/1/19,Gilles Lebreton,West France,SIEL,Non-Inscrits,8
7/15/14,7/1/19,Joëlle Bergeron,West France,FN,Europe of Freedom and Direct Democracy,8
7/15/14,7/1/19,Isabelle Thomas,West France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Emmanuel Maurel,West France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Jean Arthuis,West France,UDI,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Yannick Jadot,West France,EELV,The Greens–European Free Alliance,8
7/15/14,7/1/19,Florian Philippot,East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Sophie Montel,East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Jean-François Jalkh,East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Dominique Bilde,East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Nadine Morano,East France,UMP,European People's Party,8
7/15/14,7/1/19,Arnaud Danjean,East France,UMP,European People's Party,8
7/15/14,7/1/19,Anne Sander,East France,UMP,European People's Party,8
7/15/14,7/1/19,Édouard Martin,East France,DVG,Party of European Socialists ,8
7/15/14,7/1/19,Nathalie Griesbeck,East France,MoDem,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Virginie Rozière,South-West France,PRG,Non-Inscrits,8
7/15/14,7/1/19,Éric Andrieu,South-West France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Robert Rochefort,South-West France,MoDem,Parti démocrate européen,8
7/15/14,7/1/19,Louis Aliot,South-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,France Jamet,South-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Joëlle Mélin,South-West France,FN,Europe of Nations and Freedom,8
7/15/14,2/1/18,Édouard Ferrand,South-West France,FN,Europe of Nations and Freedom,8
2/2/18,7/1/19,Jacques Colombier,South-West France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Michèle Alliot-Marie,South-West France,UMP,European People's Party,8
7/15/14,7/1/19,Franck Proust,South-West France,UMP,European People's Party,8
7/15/14,7/1/19,José Bové,South-West France,EELV,The Greens–European Free Alliance,8
7/15/14,6/19/17,Jean-Luc Mélenchon,South-West France,FG (PG),Parti de la gauche européenne,8
6/20/17,7/1/19,Marie-Pierre Vieu,South-West France,FG (PG),Parti de la gauche européenne,8
7/15/14,7/1/19,Jean-Marie Le Pen,South-East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Marie-Christine Arnautu,South-East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Bruno Gollnisch,South-East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Mireille d'Ornano,South-East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Dominique Martin,South-East France,FN,Europe of Nations and Freedom,8
7/15/14,7/1/19,Renaud Muselier,South-East France,UMP,European People's Party,8
7/15/14,7/1/19,Françoise Grossetête,South-East France,UMP,European People's Party,8
7/15/14,7/1/19,Michel Dantin,South-East France,UMP,European People's Party,8
7/15/14,7/1/19,Vincent Peillon,South-East France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Sylvie Guillaume,South-East France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Michèle Rivasi,South-East France,EELV,The Greens–European Free Alliance,8
7/15/14,5/17/18,Sylvie Goulard,South-East France,MoDem,Alliance of Liberals and Democrats for Europe,8
5/18/18,7/1/19,Thierry Cornillet,South-East France,MoDem,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Marie-Christine Vergiat,South-East France,PCF,European United Left–Nordic Green Left,8
7/15/14,7/1/19,Bernard Monot,Massif-central–Central,FN,Non-Inscrits,8
7/15/14,7/1/19,Philippe Loiseau,Massif-central–Central,FN,Non-Inscrits,8
7/15/14,7/1/19,Brice Hortefeux,Massif-central–Central,UMP,European People's Party,8
7/15/14,7/1/19,Angélique Delahaye,Massif-central–Central,UMP,European People's Party,8
7/15/14,7/11/18,Jean-Paul Denanot,Massif-central–Central,PS,Party of European Socialists ,8
7/12/18,7/1/19,Karine Gloanec Maurin,Massif-central–Central,PS,Party of European Socialists ,8
7/15/14,7/1/19,Alain Lamassoure,Ile de France,UMP,European People's Party,8
7/15/14,7/1/19,Rachida Dati,Ile de France,UMP,European People's Party,8
7/15/14,7/1/19,Philippe Juvin,Ile de France,UMP,European People's Party,8
7/15/14,11/30/17,Constance Le Grip,Ile de France,UMP,European People's Party,8
11/30/17,7/1/19,Geoffroy Didier,Ile de France,UMP,European People's Party,8
7/15/14,7/1/19,Aymeric Chauprade,Ile de France,FN,Non-Inscrits,8
7/15/14,7/1/19,Marie-Christine Boutonnet,Ile de France,FN,Non-Inscrits,8
7/15/14,7/1/19,Jean-Luc Schaffhauser,Ile de France,FN,Non-Inscrits,8
7/15/14,7/1/19,Pervenche Berès,Ile de France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Guillaume Balas,Ile de France,PS,Party of European Socialists ,8
7/15/14,7/1/19,Christine Revault d'Allonnes-Bonnefoy,Ile de France,PS,Party of European Socialists ,8
7/15/14,5/17/18,Marielle de Sarnez,Ile de France,MoDem,Alliance of Liberals and Democrats for Europe,8
5/18/18,7/1/19,Patricia Lalonde,Ile de France,MoDem,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Jean-Marie Cavada,Ile de France,UDI,Alliance of Liberals and Democrats for Europe,8
7/15/14,7/1/19,Pascal Durand,Ile de France,EELV,The Greens–European Free Alliance,8
7/15/14,7/1/19,Eva Joly,Ile de France,EELV,The Greens–European Free Alliance,8
7/15/14,7/1/19,Patrick Le Hyaric,Ile de France,PCF,European United Left–Nordic Green Left,8
7/20/04,6/7/09,Jean Lambert,London,Green,European Green Party,
7/14/09,7/14/14,Jean Lambert,London,Green,European Green Party,
7/15/14,7/1/19,Jean Lambert,London,Green,European Green Party,
7/20/04,6/7/09,Gerard Batten,London,UKIP,Independence/Democracy,
7/14/09,7/14/14,Gerard Batten,London,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Gerard Batten,London,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Syed Kamall,London,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Syed Kamall,London,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Syed Kamall,London,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Charles Tannock,London,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Charles Tannock,London,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Charles Tannock,London,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,John Bowis,London,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Marina Yannakoudakis,London,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Lucy Anderson,London,Labour,Party of European Socialists,
7/20/04,6/7/09,Mary Honeyball,London,Labour,Party of European Socialists,
7/14/09,7/14/14,Mary Honeyball,London,Labour,Party of European Socialists,
7/15/14,7/1/19,Mary Honeyball,London,Labour,Party of European Socialists,
7/20/04,6/7/09,Claude Moraes,London,Labour,Party of European Socialists,
7/14/09,7/15/14,Claude Moraes,London,Labour,Party of European Socialists,
7/15/14,7/1/19,Claude Moraes,London,Labour,Party of European Socialists,
7/20/04,6/7/09,Sarah Ludford,London,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Sarah Ludford,London,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Seb Dance,London,Labour,Party of European Socialists,
7/20/04,6/7/09,Robert Evans,London,Labour,Party of European Socialists,
7/20/04,6/7/09,Graham Booth,South-West England,UKIP,Independence/Democracy,
7/14/09,7/14/14,Trevor Colman,South-West England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Julia Reid,South-West England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Roger Knapman,South-West England,UKIP,Independence/Democracy,
7/14/09,7/14/14,William Legge,South-West England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,William Legge,South-West England,UKIP,Europe of Nations and Freedom,
7/20/04,6/7/09,Caroline Jackson,South-West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Ashley Fox,South-West England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Ashley Fox,South-West England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Neil Parish,South-West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Julie Girling,South-West England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Julie Girling,South-West England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Giles Chichester,South-West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Giles Chichester,South-West England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Clare Moody,South-West England,Labour,Party of European Socialists,
7/20/04,6/7/09,Graham Watson,South-West England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Graham Watson,South-West England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Molly Scott Cato,South-West England,Green,European Green Party,
7/20/04,6/7/09,Glyn Ford,South-West England,Labour,Party of European Socialists,
7/20/04,6/7/09,Nigel Farage,South-East England,UKIP,Independence/Democracy,
7/14/09,7/14/14,Nigel Farage,South-East England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Nigel Farage,South-East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Ashley Mote,South-East England,UKIP,Independence/Democracy,
7/14/09,7/14/14,Marta Andreasen,South-East England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Ray Finch,South-East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,James Elles,South-East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,James Elles,South-East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Diane James,South-East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Nirj Deva,South-East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Nirj Deva,South-East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Nirj Deva,South-East England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Daniel Hannan,South-East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Daniel Hannan,South-East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Daniel Hannan,South-East England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Richard Ashworth,South-East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Richard Ashworth,South-East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Richard Ashworth,South-East England,Conservative,European Conservatives and Reformists Party,
7/20/04,5/12/05,Chris Huhne,South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
5/12/05,7/14/09,Sharon Bowles,South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Sharon Bowles,South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Janice Atkinson,South-East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,"Emma Nicholson, Baroness Nicholson of Winterbourne",South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Catherine Bearder,South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
