TIME,TIME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
FRB,Centre - Val de Loire,"49,435.8","50,640.2","51,725","52,281.9","52,256.8","52,671.7","53,056.1","53,308","54,692.6",:
FRC,Bourgogne - Franche-Comté,"51,845.6","53,075","54,631.4","55,042.3","55,018.5","55,898.5","56,184.8","56,340","57,890.3",:
FRD,Normandie,"61,784.1","62,871.2","63,847","65,316.4","65,062.5","65,793.6","66,090.1","66,233.3","68,096.6",:
FRE,Nord-Pas-de-Calais - Picardie,"104,816.7","107,030.5","109,329.3","111,362.9","110,544.2","111,913.6","113,446.7","113,727.8","117,077.4",:
FRF,Alsace - Champagne-Ardenne - Lorraine,"104,226.9","105,786.4","110,469.2","111,542.4","111,935.6","113,127.7","115,109.1","115,171.9","118,283.6",:
FRG,Pays-de-la-Loire,"66,927.6","68,844.9","70,179.1","72,192.4","72,905.9","73,875","75,131","76,584.2","78,541.4",:
FRH,Bretagne,"59,320.5","60,939","62,648.9","63,649.6","63,633.7","64,386.1","64,996.5","66,181.1","68,117",:
ITC,Nord-Ovest,"366,098.8","366,982.3","375,969.5","367,747.7","366,374.4","368,503.2","374,879.8","378,659.9","389,088.2","396,554.6"
ITH,Nord-Est,"251,225.1","251,130.9","257,514.5","251,597.6","251,547.1","251,999","255,402.8","260,277.8","267,548.3","273,549.4"
ITI,Centro (IT),"238,762","238,851.6","242,154.1","233,976.4","232,977.1","233,705.6","236,490.2","240,996.6","245,338.1","250,408.5"
ITF,Sud,"185,919.6","183,245.4","186,988.8","181,154.6","178,111","176,820.5","180,284.3","182,117.1","184,197.2","187,380.6"
ITG,Isole,"88,501","86,978.3","87,152.2","84,927.9","84,018.2","82,966.8","83,541.6","84,171.5","85,258.9","86,624.4"
UKC,North East (UK),"41,376.81","44,461.09","43,923.54","47,659.95","46,500.07","51,104.71","57,775.59","51,962.21","49,684.15","51,478.47"
UKD,North West (UK),"121,294.91","129,613.57","128,534.39","138,306.69","135,666.39","148,963.35","171,988.15","156,076.06","150,539.92","156,957.13"
UKE,Yorkshire and The Humber,"89,471.61","94,727.79","94,935.15","102,219.43","100,300.49","109,743.52","125,509.23","113,268.53","108,645.32","113,071.11"
UKF,East Midlands (UK),"81,113.3","85,905.01","86,925.37","93,350.4","92,086.77","101,473.96","116,890.52","105,859.22","101,679.22","105,003.83"
UKG,West Midlands (UK),"94,574.79","101,106.74","101,229","109,193.48","107,965.42","119,578.66","138,269.11","127,009.99","122,032.44","128,386.92"
UKH,East of England,"125,122.59","132,292.39","132,424.25","144,364.7","143,703.09","158,590.65","185,363.4","170,512.84","164,158.77","171,776.49"
UKI,London,"232,681.18","251,198.75","251,126.34","281,281.69","287,008.22","321,295.46","382,611.78","353,270.05","339,056.61","355,988.21"
UKJ,South East (UK),"203,605.86","216,558.56","217,848.87","237,569.38","237,712.21","260,933.09","303,959.58","277,841.94","268,106.04","276,914.67"
UKK,South West (UK),"100,847.21","108,277.12","108,456.41","116,276.45","115,144.84","127,663.75","147,104.88","132,723.41","127,471.05","133,716.26"
UKL,Wales,"47,787.05","51,253.47","51,365.8","55,074.49","53,807.04","58,852.4","66,589.12","60,105.22","57,870.92","60,226.08"
UKM,Scotland,"101,165.78","107,539.6","108,504.2","117,203.27","116,418.47","127,576.05","144,040.38","129,092.04","122,939.81","125,683.31"
UKN,Northern Ireland (UK),"28,495.43","30,427.85","30,888.82","32,933.87","32,405.64","35,442.08","40,657.1","36,937.8","35,967.28","37,025.43"
